 名称 , 产地 , 供应商 , 抑制率1 , 抑制率2 , 结果 , 年份 
金针菇,福建漳州,自采,11.50%,9.71%,合格,04-21
杏鲍菇,辽宁大连,自采,3.85%,4.21%,合格,04-21
白玉菇,福建漳州,自采,1.83%,4.03%,合格,04-21
秋葵,海口秀英,自采,7.14%,5.49%,合格,04-21
虫草花,福建漳州,自采,5.86%,4.76%,合格,04-21
鲜香菇,福建漳州,自采,0.18%,1.10%,合格,04-21
平菇,海口秀英,自采,4.95%,6.04%,合格,04-21
外地大白菜,云南通海,银川物流,1.83%,0.55%,合格,04-21
菜心,云南通海,银川物流,0.73%,1.47%,合格,04-21
西红柿,云南通海,银川物流,5.31%,4.03%,合格,04-21
莲藕,琼山七水洋,泳旺,4.76%,3.66%,合格,04-21
蒜头,琼山大荒洋,进利,0.00%,0.00%,合格,04-21
地瓜叶,琼山七水洋,泳旺/龙地园,4.03%,3.11%,合格,04-21
空心菜,琼山七水洋,泳旺,5.31%,3.11%,合格,04-21
地瓜叶,琼山大荒洋,恒鑫,7.69%,6.23%,合格,04-21
空心菜,琼山大荒洋,恒鑫,5.49%,3.48%,合格,04-21
菜心,琼山大荒洋,鑫源丰,5.49%,5.86%,合格,04-21
本地小白菜,琼山大荒洋,鑫源丰,3.66%,1.65%,合格,04-21
上海青,琼山大荒洋,鑫源丰,1.28%,3.48%,合格,04-21
黑叶白,琼山大荒洋,鑫源丰,2.38%,6.59%,合格,04-21
地瓜叶,琼山七水洋,龙地园,0.00%,6.59%,合格,04-14
菜心,云南通海,广西泽元,7.51%,2.56%,合格,04-14
上海青,云南通海,广西泽元,11.00%,22.20%,合格,04-14
尖椒,云南通海,广西泽元,6.59%,7.51%,合格,04-14
西芹,云南通海,广西泽元,8.42%,2.56%,合格,04-14
生菜,云南通海,广西泽元,8.79%,6.41%,合格,04-14
白洋葱,甘肃高台,袁氏贸易,10.10%,4.58%,合格,04-14
金针菇,福建漳州,自采,10.40%,5.49%,合格,04-14
杏鲍菇,辽宁大连,自采,0.92%,0.18%,合格,04-14
白玉菇,福建漳州,自采,5.68%,0.00%,合格,04-14
秋葵,海口秀英,自采,2.38%,12.30%,合格,04-14
虫草花,福建漳州,自采,1.47%,0.37%,合格,04-14
平菇,海口秀英,自采,2.75%,0.00%,合格,04-14
鲜香菇,福建漳州,自采,2.93%,4.03%,合格,04-14
小香芹,云南通海,广西泽元,2.01%,0.00%,合格,04-13
空心菜,海南临高,东北亚贸易,0.00%,0.00%,合格,04-13
本地大黄瓜,海南乐东,中商,2.75%,0.00%,合格,04-13
小葱,云南通海,广西泽元,4.40%,4.95%,合格,04-13
白萝卜,云南通海,广西泽元,14.80%,15.90%,合格,04-13
外地大白菜,云南通海,广西泽元,0.00%,0.00%,合格,04-13
青梗小白菜,琼山大荒洋,鑫源丰,8.61%,8.06%,合格,04-19
地瓜叶,琼山大荒洋,鑫源丰,5.31%,5.68%,合格,04-19
空心菜,琼山大荒洋,鑫源丰,9.34%,7.88%,合格,04-19
芥兰,琼山大荒洋,鑫源丰,8.24%,4.76%,合格,04-19
茄子,琼山大荒洋,鑫源丰,2.93%,1.28%,合格,04-19
泡椒,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-19
本地小白菜,琼山龙湾,光伏,0.37%,1.65%,合格,04-19
青梗小白菜,琼山龙湾,光伏,1.83%,4.58%,合格,04-19
地瓜叶,琼山大荒洋,昌木达,4.40%,2.56%,合格,04-19
芥兰,琼山大荒洋,昌木达,0.00%,2.75%,合格,04-19
地瓜叶,琼山七水洋,泳旺/龙地园,4.21%,3.30%,合格,04-19
泡椒,琼山七水洋,泳旺,5.68%,1.28%,合格,04-19
上海青,琼山七水洋,泳旺,0.00%,0.00%,合格,04-19
本地小白菜,琼山七水洋,泳旺,20.30%,20.10%,合格,04-19
